%trk_id,qual,PR,PA,PE,P_HGT,PT,MR,MA,ME,MT,doppler,F_X,F_Y,F_Z,F_VX,F_VY,F_VZ,F_AX,F_AY,F_AZ,rng1_MIN,rng1_MAX,AZ_MIN,AZ_MAX,EL_MIN,EL_MAX,F_TIM,FirstLat,firstLong,FirstAlt,MeasLat,MeasLon,MeasAlt,RNG_MIN,RNG_MAX,AZM_MIN,AZM_MAX,ELV_MIN,ELV_MAX
31,14,,,,,,16.316797,25.310747,7.101304,45820.54297,1.2,6904.351856,14638.46387,1998.753784,49.184475,187.8703,11.038088,0,0,0,68.198441,69.198441,303.164642,305.764648,1.612675,4.012676,45820.54297,,,,,,,,,,,,
31,14,,,,,,16.106585,25.238171,7.125704,45822.02334,1.3,6814.658203,14455.67773,1998.864014,47.266834,188.034897,13.166353,0,0,0,68.309021,69.309021,303.390228,305.990234,1.621352,4.021352,45822.02344,,,,,,,,,,,,
31,14,,,,,,16.076609,25.195217,7.042534,45822.21875,1.4,6795.174805,14435.76465,1978.790283,46.124813,188.865799,11.120913,0,0,0,68.425499,69.425499,303.611359,306.211365,1.648505,4.048505,45822.21875,,,,,,,,,,,,
31,14,,,,,,16.056887,25.292265,6.988354,45822.36328,1.5,6796.535645,14414.39551,1966.12915,43.134598,188.069672,5.126132,0,0,0,68.541969,69.541969,303.838287,306.438293,1.642749,4.042749,45822.36328,,,,,,,,,,,,
31,14,,,,,,16.030518,25.220178,6.854122,45822.55469,1,6789.301758,14390.73047,1948.623657,41.660488,188.219482,5.831649,0,0,0,68.663048,69.663048,304.045715,306.645721,1.600858,4.000858,45822.55469,,,,,,,,,,,,
31,14,,,,,,16.130518,25.280178,6.894122,45822.55469,4,6789.301758,14390.73047,1948.623657,41.660488,188.219482,5.831649,0,0,0,68.663048,69.663048,304.045715,306.645721,1.600858,4.000858,45822.55469,,,,,,,,,,,,
31,14,,,,,,16.010518,25.340178,6.964122,45822.55469,5,6789.301758,14390.73047,1948.623657,41.660488,188.219482,5.831649,0,0,0,68.663048,69.663048,304.045715,306.645721,1.600858,4.000858,45822.55469,,,,,,,,,,,,
31,14,,,,,,16.001503,25.193531,6.841996,45822.75391,67,6773.283691,14269.29688,1931.733154,,,,,,,,,,,,,45822.75391,,,,,,,,,,,,
31,14,,,,,,15.986666,25.200834,6.975808,45822.86328,31,6765.382812,14356.19141,1929.802246,,,,,,,,,,,,,45822.86328,,,,,,,,,,,,
31,14,,,,,,15.971466,25.230322,7.11817,45822.97656,1,6758.185547,14341.68848,1933.195312,,,,,,,,,,,,,45822.97656,,,,,,,,,,,,
